task_id,description,deadline,assigned_to,status,priority,category,combined_text,predicted_priority
T000,Fix login issue on mobile app,2025-07-20,Diana,Open,High,Bug,Fix login issue on mobile app Bug,Medium
T001,Page crashes when submitting form,2025-07-20,Diana,Done,Medium,Bug,Page crashes when submitting form Bug,Medium
T002,Fix login issue on mobile app,2025-07-28,Diana,Done,Medium,Bug,Fix login issue on mobile app Bug,Medium
T003,Create user profile section,2025-07-21,Diana,Open,Medium,Feature,Create user profile section Feature,Medium
T004,Client call to discuss roadmap,2025-07-19,Bob,Done,Medium,Meeting,Client call to discuss roadmap Meeting,Medium
T005,Client call to discuss roadmap,2025-07-28,Diana,Open,High,Meeting,Client call to discuss roadmap Meeting,Medium
T006,Error in data export module,2025-07-18,Alice,Done,High,Bug,Error in data export module Bug,Medium
T007,Page crashes when submitting form,2025-07-24,Bob,In Progress,High,Bug,Page crashes when submitting form Bug,Medium
T008,Demo presentation preparation,2025-07-22,Charlie,Done,High,Meeting,Demo presentation preparation Meeting,Medium
T009,Fix login issue on mobile app,2025-07-21,Diana,In Progress,Low,Bug,Fix login issue on mobile app Bug,Medium
T010,Add dark mode to dashboard,2025-07-25,Alice,In Progress,Medium,Feature,Add dark mode to dashboard Feature,Medium
T011,Client call to discuss roadmap,2025-07-26,Bob,Open,Medium,Meeting,Client call to discuss roadmap Meeting,Medium
T012,Page crashes when submitting form,2025-07-21,Charlie,Done,Medium,Bug,Page crashes when submitting form Bug,Medium
T013,Implement task reminder notification,2025-07-25,Diana,Done,Medium,Feature,Implement task reminder notification Feature,Low
T014,Create user profile section,2025-07-26,Alice,Open,Low,Feature,Create user profile section Feature,Medium
T015,Sprint planning session with team,2025-07-27,Bob,Open,Low,Meeting,Sprint planning session with team Meeting,Medium
T016,Client call to discuss roadmap,2025-07-21,Charlie,In Progress,Low,Meeting,Client call to discuss roadmap Meeting,Medium
T017,Update user guide for new features,2025-07-27,Diana,Open,Medium,Documentation,Update user guide for new features Documentation,Medium
