task_id,description,deadline,assigned_to,status,priority,category,,,
T000,Fix login issue on mobile app,7/20/2025,Charlie,Open,High,Bug,,,
T001,Page crashes when submitting form,7/20/2025,Alice,Done,Medium,Bug,,,
T002,Fix login issue on mobile app,7/28/2025,Bob,Done,Medium,Bug,,,
T003,Create user profile section,7/21/2025,Diana,Open,Medium,Feature,,,
T004,Client call to discuss roadmap,7/19/2025,Bob,Done,Medium,Meeting,,,
T005,Client call to discuss roadmap,7/28/2025,Charlie,Open,High,Meeting,,,
T006,Error in data export module,7/18/2025,Charlie,Done,High,Bug,,,
T007,Page crashes when submitting form,7/24/2025,Alice,In Progress,High,Bug,,,
T008,Demo presentation preparation,7/22/2025,Charlie,Done,High,Meeting,,,
T009,Fix login issue on mobile app,7/21/2025,Bob,In Progress,Low,Bug,,,
T010,Add dark mode to dashboard,7/25/2025,Charlie,In Progress,Medium,Feature,,,
T011,Client call to discuss roadmap,7/26/2025,Charlie,Open,Medium,Meeting,,,
T012,Page crashes when submitting form,7/21/2025,Bob,Done,Medium,Bug,,,
T013,Implement task reminder notification,7/25/2025,Charlie,Done,Medium,Feature,,,
T014,Create user profile section,7/26/2025,Alice,Open,Low,Feature,,,
T015,Sprint planning session with team,7/27/2025,Alice,Open,Low,Meeting,,,
T016,Client call to discuss roadmap,7/21/2025,Diana,In Progress,Low,Meeting,,,
T017,Update user guide for new features,7/27/2025,Bob,Open,Medium,Documentation,,,
T018,Demo presentation preparation,7/22/2025,Diana,Done,Medium,Meeting,,,
T019,Add dark mode to dashboard,7/23/2025,Diana,Open,Medium,Feature,,,
T020,Fix login issue on mobile app,7/21/2025,Bob,Done,Medium,Bug,,,
T021,Error in data export module,7/25/2025,Diana,Done,High,Bug,,,
T022,Page crashes when submitting form,7/20/2025,Alice,Done,Low,Bug,,,
T023,Demo presentation preparation,7/26/2025,Alice,In Progress,Medium,Meeting,,,
T024,Update user guide for new features,7/20/2025,Charlie,Done,Medium,Documentation,,,
T025,Page crashes when submitting form,7/27/2025,Bob,Open,Medium,Bug,,,
T026,Create user profile section,7/19/2025,Alice,Done,Medium,Feature,,,
T027,Fix login issue on mobile app,7/17/2025,Charlie,In Progress,High,Bug,,,
T028,Create user profile section,7/30/2025,Alice,Done,Medium,Feature,,,
T029,Page crashes when submitting form,7/19/2025,Bob,Open,Medium,Bug,,,
T030,Implement task reminder notification,7/23/2025,Diana,Open,Low,Feature,,,
T031,Create user profile section,7/27/2025,Diana,Done,Medium,Feature,,,
T032,Document testing procedures,7/24/2025,Alice,Open,High,Documentation,,,
T033,Client call to discuss roadmap,7/22/2025,Bob,Done,High,Meeting,,,
T034,Page crashes when submitting form,7/21/2025,Alice,Open,High,Bug,,,
T035,Error in data export module,7/30/2025,Bob,In Progress,Medium,Bug,,,
T036,Create user profile section,7/29/2025,Diana,Open,Medium,Feature,,,
T037,Update user guide for new features,7/30/2025,Alice,Done,Medium,Documentation,,,
T038,Write API reference for devs,7/24/2025,Alice,Done,Medium,Documentation,,,
T039,Fix login issue on mobile app,7/25/2025,Charlie,Open,High,Bug,,,
T040,Create user profile section,7/24/2025,Bob,In Progress,High,Feature,,,
T041,Update user guide for new features,7/18/2025,Alice,In Progress,Low,Documentation,,,
T042,Fix login issue on mobile app,7/21/2025,Alice,Open,Low,Bug,,,
T043,Add dark mode to dashboard,7/25/2025,Diana,In Progress,High,Feature,,,
T044,Update user guide for new features,7/29/2025,Diana,Open,Low,Documentation,,,
T045,Sprint planning session with team,7/27/2025,Diana,Done,Low,Meeting,,,
T046,Update user guide for new features,7/28/2025,Charlie,Open,Low,Documentation,,,
T047,Page crashes when submitting form,7/26/2025,Alice,Open,Medium,Bug,,,
T048,Add dark mode to dashboard,7/23/2025,Alice,Open,High,Feature,,,
T049,Page crashes when submitting form,7/18/2025,Bob,In Progress,High,Bug,,,
T050,Create user profile section,7/22/2025,Alice,Done,High,Feature,,,
T051,Sprint planning session with team,7/28/2025,Charlie,Open,High,Meeting,,,
T052,Create user profile section,7/21/2025,Charlie,In Progress,Medium,Feature,,,
T053,Fix login issue on mobile app,7/24/2025,Alice,Open,Medium,Bug,,,
T054,Client call to discuss roadmap,7/17/2025,Charlie,Open,Low,Meeting,,,
T055,Sprint planning session with team,7/29/2025,Diana,Done,Medium,Meeting,,,
T056,Page crashes when submitting form,7/18/2025,Charlie,Done,High,Bug,,,
T057,Implement task reminder notification,7/30/2025,Alice,Done,Medium,Feature,,,
T058,Sprint planning session with team,7/22/2025,Bob,Done,Medium,Meeting,,,
T059,Demo presentation preparation,7/24/2025,Charlie,Open,High,Meeting,,,
T060,Write API reference for devs,7/31/2025,Alice,In Progress,Medium,Documentation,,,
T061,Client call to discuss roadmap,7/20/2025,Diana,Done,Medium,Meeting,,,
T062,Fix login issue on mobile app,7/30/2025,Bob,Done,High,Bug,,,
T063,Demo presentation preparation,7/23/2025,Bob,In Progress,High,Meeting,,,
T064,Sprint planning session with team,7/17/2025,Alice,In Progress,High,Meeting,,,
T065,Create user profile section,7/30/2025,Charlie,Done,Low,Feature,,,
T066,Document testing procedures,7/20/2025,Bob,Open,Low,Documentation,,,
T067,Implement task reminder notification,7/31/2025,Bob,Done,Low,Feature,,,
T068,Document testing procedures,7/18/2025,Bob,In Progress,High,Documentation,,,
T069,Error in data export module,7/18/2025,Alice,In Progress,High,Bug,,,
T070,Write API reference for devs,7/27/2025,Bob,Open,High,Documentation,,,
T071,Implement task reminder notification,7/26/2025,Charlie,Open,Low,Feature,,,
T072,Sprint planning session with team,7/21/2025,Diana,Done,Low,Meeting,,,
T073,Client call to discuss roadmap,7/30/2025,Charlie,Open,Medium,Meeting,,,
T074,Client call to discuss roadmap,7/30/2025,Diana,In Progress,Medium,Meeting,,,
T075,Sprint planning session with team,7/22/2025,Alice,In Progress,Low,Meeting,,,
T076,Implement task reminder notification,7/31/2025,Diana,Open,Medium,Feature,,,
T077,Implement task reminder notification,7/25/2025,Alice,Done,Low,Feature,,,
T078,Demo presentation preparation,7/18/2025,Alice,Done,Low,Meeting,,,
T079,Demo presentation preparation,7/25/2025,Charlie,In Progress,Medium,Meeting,,,
T080,Add dark mode to dashboard,7/25/2025,Diana,Done,Medium,Feature,,,
T081,Create user profile section,7/22/2025,Charlie,In Progress,Medium,Feature,,,
T082,Error in data export module,7/27/2025,Bob,In Progress,Medium,Bug,,,
T083,Sprint planning session with team,7/24/2025,Diana,Done,High,Meeting,,,
T084,Document testing procedures,7/29/2025,Alice,In Progress,Medium,Documentation,,,
T085,Client call to discuss roadmap,7/18/2025,Bob,Done,Medium,Meeting,,,
T086,Add dark mode to dashboard,7/31/2025,Alice,Open,Low,Feature,,,
T087,Error in data export module,7/25/2025,Bob,Done,Medium,Bug,,,
T088,Write API reference for devs,7/28/2025,Bob,Done,Medium,Documentation,,,
T089,Error in data export module,7/28/2025,Bob,Done,Medium,Bug,,,
T090,Page crashes when submitting form,7/28/2025,Alice,In Progress,High,Bug,,,
T091,Document testing procedures,7/23/2025,Charlie,In Progress,Medium,Documentation,,,
T092,Document testing procedures,7/24/2025,Bob,Done,Low,Documentation,,,
T093,Write API reference for devs,7/19/2025,Bob,Done,High,Documentation,,,
T094,Document testing procedures,7/28/2025,Charlie,In Progress,High,Documentation,,,
T095,Client call to discuss roadmap,7/27/2025,Charlie,In Progress,Low,Meeting,,,
T096,Fix login issue on mobile app,7/29/2025,Bob,In Progress,Medium,Bug,,,
T097,Add dark mode to dashboard,7/25/2025,Diana,In Progress,Medium,Feature,,,
T098,Update user guide for new features,7/28/2025,Diana,In Progress,Low,Documentation,,,
T099,Page crashes when submitting form,7/25/2025,Diana,Open,Low,Bug,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
